severity,Cy,Cx,Area,intensity,Duration
-14872050.62963231,89.6908479882392,40.81273674388689,3595700.349086184,-0.5738655428869639,23
-1807823.5617687474,112.2289156008855,25.013546510948437,1141139.4786604699,-0.8073236335240176,3
-627324.911489562,110.04976715627548,26.79990669277207,1100190.364268427,-0.33598476703574187,3
-1381181.3252953624,113.46319507359117,31.19906265393916,1631784.6147530442,-0.4365914065125797,4
-881446.4161980083,111.43418374598845,28.03295698219252,1533895.5659585288,-0.3545599135751967,5
-3803372.656102646,84.54411305577952,41.341310332723346,1470398.6823773072,-0.514042182060822,12
-1442092.3441564706,112.30125205410323,30.262920128229645,1483493.7569791134,-0.45595977296616697,4
-486906.0207837423,124.96290098137337,41.87215512239379,413814.0245011033,-0.6201953983193031,3
-8347425.53618374,111.23753934228154,28.473027417360488,3190155.286107148,-0.6601369763860889,11
-530689.6118930383,123.45739179105715,49.28565538482475,749925.6552970768,-0.38333647230753404,4
-6408898.344409433,88.81247327783346,41.02789532292379,2610697.8093766957,-0.6575984767713053,7
-911943.204134932,125.08841390225261,50.37318009505797,556153.5622901662,-0.5823368484056809,6
-775845.9331719093,100.220141164592,31.811671879472947,589825.9686985805,-0.600121207634895,4
-6333835.837065849,114.25871893384125,25.459944641444327,1476519.5384661274,-0.6873525434340471,16
-4003991.5780242053,83.23794981751841,39.306125471647036,1534944.1575183696,-0.5073226833651846,10
-988217.0988475945,126.82976829617967,49.70216257111884,485494.7677854753,-0.7500313131078129,4
-16613988.699845877,88.67926104052114,37.62086174683923,5891168.96907399,-0.6224305079602865,19
-2073112.0572265906,114.57097640311464,27.21147159709318,1662468.309414004,-0.48752587293869437,5
-711589.503692768,100.66234787818294,26.126387623362906,825146.340289074,-0.5162877519538915,3
-3020244.782460491,111.77160500168948,25.040827304011508,1596123.4293408468,-0.607696942770896,8
-4262970.6053811265,95.82250015770238,39.82014678754028,3615981.4487521984,-0.47264162971685464,13
-532667.547505601,103.36714509948122,34.97113280269148,928173.7046925763,-0.3914412696414249,3
-1244155.9804688557,105.14445200559157,25.950318639880702,1306777.2293478195,-0.5274737524452503,4
-670484.7172811774,127.3120534369703,44.271090774659235,585879.1962591242,-0.5235399870953956,3
-316385.19591147784,78.71677757339904,37.74600964010237,660335.5920906696,-0.2507583635103407,3
-608637.3061089821,116.81762595838002,29.193745335183312,809114.934390488,-0.5018923614928953,3
-1450236.7094310047,88.27823232648613,34.16186005707419,1617682.1964862084,-0.5193715520065877,3
-1358461.3750817722,110.21456022830955,25.729975948186603,1845391.0992367065,-0.4811760671312215,3
-11015248.89943998,89.856057419727,36.23611717399696,4506847.765467487,-0.585959374265696,13
-2675919.1269396725,111.38577960632539,30.85094719910938,1782347.7950640817,-0.549069188761497,5
-1632032.9907307795,92.69765309061302,36.93567725096539,1543225.6569005125,-0.4225712451480053,5
-1110635.6327486855,84.6107497109391,39.28121893070775,1379551.5618580098,-0.49310445464684927,4
-577912.1452632091,118.59441702579234,44.03354680029236,1003070.8764055416,-0.42506025612924414,3
-636299.5340171563,109.37505730172468,29.01364897187608,718283.3157148344,-0.4233428678568234,4
-4265749.246470846,102.07983050456971,35.884570133944024,4474850.894487509,-0.45108868064203494,9
-454197.7923049704,83.48808019894105,42.93451712353301,792761.5995636577,-0.3778502466787177,3
-423882.31035893975,85.01240952573181,36.54344230239092,461262.14059656375,-0.5194571068888525,3
-7370903.50264452,111.64796697396943,27.43080591434976,3270070.1325381617,-0.7420490653679233,9
-940625.0899465674,126.23411308784627,44.06310420592447,971793.3758843036,-0.45550868470546246,4
-326286.61296681326,83.45105553832865,32.38596531729138,469314.8676972608,-0.38721272186523664,3
-19010071.90669617,99.0380614180011,38.370066589016204,6428352.02105122,-0.6262004983078028,19
-474551.54772992415,90.91432588560494,42.81599923155072,865424.3264274271,-0.3409589457898119,3
-1659440.4002077659,115.3085831321672,26.74032611934386,1276039.7709686724,-0.7271109589825179,3
-1453028.8479966018,113.7753325323944,31.28304571717934,1003811.1469732787,-0.652918221297013,3
-5229506.636684479,86.73187761677556,37.427589989915624,3497638.0219965563,-0.4768348255841181,13
-6571548.628253513,114.12817104109344,31.44112138181719,2428036.0909238276,-0.7328532130210106,8
-516793.21121741325,126.82206201793127,48.50989422120069,687564.0905482209,-0.48822692258371775,3
-295391.8140548697,81.81354564146483,31.182486695867333,369695.95777965675,-0.43866368639130493,3
-695788.7511819288,96.92677413719362,31.28807463109812,784517.1148035262,-0.3747659478657768,5
-1329394.350687235,116.79962490555201,27.768042638323227,1059448.8107967172,-0.5034838431480493,6
-1788810.1823018286,89.42894764440634,35.587705098859445,2170431.460535341,-0.4300176451634244,7
-908044.339157097,115.29385098089007,36.35383566615002,763565.8903744257,-0.5242604847077093,5
-6077987.509512487,96.95897651064661,30.421177849240802,2599621.6585987876,-0.6747130419645855,8
-164207.7533726466,79.28639574338642,37.037313626887666,380534.1092279567,-0.24499781791975717,3
-725365.1328755899,97.58564564831882,34.25020943240973,969250.6326144626,-0.39294176343146076,4
-854006.6330480095,127.36789054253275,46.75321335683397,790279.9398268505,-0.5211268616015738,4
-336924.5274687269,79.79758042129077,34.97343911322619,386334.1506037973,-0.40370753666548803,4
-879555.6491784609,103.38053452617882,32.84309714723933,1793412.6414157704,-0.34041144229453685,4
-1084584.50782594,96.01254442153696,32.594627829950305,1310656.789951559,-0.44966800043415206,5
-484461.18514255126,113.78925548989005,42.18449550916873,979168.2536989026,-0.309708074602562,5
-4237718.011958447,100.24947783948095,32.647341172679674,3343510.7619225523,-0.5257305606598435,12
-2696598.238624466,96.68827204738366,32.49215687136748,1895824.3060062348,-0.5140686320108804,7
-1685168.0661259885,106.91139677795798,35.58391714121369,1349081.1164573284,-0.45449690927705744,8
-1064804.2550387601,89.3261423807716,44.34366590570254,893147.316590389,-0.4672372460793515,5
-516509.6023098209,128.3749780549296,45.77055723677207,573400.2114356884,-0.33249383680501665,4
-786500.1588274426,87.78764646754753,31.736583899845126,1078098.3360064668,-0.36478449574726624,4
-783020.119194206,128.46137524490905,47.37089210954156,580257.5789558764,-0.44072240253522227,6
-1332569.7456840002,88.93193544074413,31.72092361382338,1335921.656176926,-0.3935148433414523,5
-1911192.6683868302,100.718768474813,33.4403120000805,1226285.3491285364,-0.5524158562018673,6
-634891.8245032772,127.98989336585038,45.879620804104725,849734.8170609755,-0.42221907154466903,3
-627548.9840300163,106.55679145470012,27.635362684111335,1082489.5559994802,-0.41719154274582176,3
-1241640.9831680122,117.8080011014484,32.33128036755712,1028174.4591180994,-0.4730207481231153,7
-2384729.1957425224,92.93264359566412,34.330795442844625,2458274.07086274,-0.45639293568031136,6
-240667.8470645189,129.97953015728532,44.84108955786707,286719.1482521812,-0.42618352850343466,3
-254467.19987536885,107.87955920683082,31.28231788486868,466813.51545735303,-0.33345928095297067,3
-4306784.927567513,93.67023203236444,30.91504930103151,3312506.495189149,-0.49919559793415746,12
-382212.8847517313,124.89488963216287,49.223109172243724,570552.9210878847,-0.43139451085150915,3
-1677541.2279231506,111.95889938258024,27.84440488434848,2281822.2556487587,-0.5033184818557379,4
-2282071.42771481,94.33561039232981,37.970614047163146,2289579.0895083374,-0.4894897365274228,4
-245186.6893173642,112.29826630238718,23.226477614178208,325912.7643420338,-0.36640994894224466,3
-1161506.3936606229,95.70196055128511,28.551804753134025,918726.5743117409,-0.5907300741843209,4
